Freq.	(V(n004)/I(R5)-50)/(V(n004)/I(R5)+50)
2.29086765276780e+006	(-9.28347786506884e+001dB,-5.96295821395303e+001°)
2.39883291901952e+006	(-9.25291869742532e+001dB,-6.07511730040611e+001°)
2.51188643150961e+006	(-9.22168364050000e+001dB,-6.18457898851273e+001°)
2.63026799189541e+006	(-9.18980476939942e+001dB,-6.29125931345551e+001°)
2.75422870333820e+006	(-9.15731437251604e+001dB,-6.39509350730599e+001°)
2.88403150312664e+006	(-9.12424469413905e+001dB,-6.49603514265724e+001°)
3.01995172040205e+006	(-9.09062770742677e+001dB,-6.59405509697229e+001°)
3.16227766016842e+006	(-9.05649491821559e+001dB,-6.68914037446847e+001°)
3.31131121482595e+006	(-9.02187719921800e+001dB,-6.78129282226385e+001°)
3.46736850452536e+006	(-8.98680465315726e+001dB,-6.87052777484552e+001°)
3.63078054770106e+006	(-8.95130650270539e+001dB,-6.95687265748633e+001°)
3.80189396320566e+006	(-8.91541100453439e+001dB,-7.04036557644084e+001°)
3.98107170553502e+006	(-8.87914538457770e+001dB,-7.12105392097636e+001°)
4.16869383470341e+006	(-8.84253579138054e+001dB,-7.19899299880378e+001°)
4.36515832240172e+006	(-8.80560726448904e+001dB,-7.27424472358703e+001°)
4.57088189614881e+006	(-8.76838371503697e+001dB,-7.34687637103730e+001°)
4.78630092322645e+006	(-8.73088791594951e+001dB,-7.41695941677190e+001°)
5.01187233627279e+006	(-8.69314149956770e+001dB,-7.48456846695331e+001°)
5.24807460249780e+006	(-8.65516496094498e+001dB,-7.54978029012085e+001°)
5.49540873857632e+006	(-8.61697766548989e+001dB,-7.61267295638409e+001°)
5.75439937337165e+006	(-8.57859786004128e+001dB,-7.67332508647393e+001°)
6.02559586074366e+006	(-8.54004268687771e+001dB,-7.73181521205145e+001°)
6.30957344480202e+006	(-8.50132820044009e+001dB,-7.78822124501461e+001°)
6.60693448007605e+006	(-8.46246938678872e+001dB,-7.84262005127764e+001°)
6.91830970918946e+006	(-8.42348018597969e+001dB,-7.89508712276638e+001°)
7.24435960075000e+006	(-8.38437351755216e+001dB,-7.94569633882046e+001°)
7.58577575029195e+006	(-8.34516130935575e+001dB,-7.99451980736970e+001°)
7.94328234724293e+006	(-8.30585452982093e+001dB,-8.04162777464148e+001°)
