time	V(bf_source)	V(samplecap)
1.783107199629303e-002	-7.681730278609290e-002	-9.643378560074140e-002
1.793107199629303e-002	-7.679919259215556e-002	-9.641378560074139e-002
1.803107199629303e-002	-7.678108239823528e-002	-9.639378560074140e-002
1.813107199629303e-002	-7.676297220452376e-002	-9.637378560074139e-002
1.823107199629303e-002	-7.674486201089083e-002	-9.635378560074140e-002
1.833107199629303e-002	-7.672675181716766e-002	-9.633378560074139e-002
1.843107199629303e-002	-7.670864162358645e-002	-9.631378560074140e-002
1.853107199629303e-002	-7.669053143011773e-002	-9.629378560074139e-002
1.863107199629303e-002	-7.667242123683150e-002	-9.627378560074139e-002
1.873107199629303e-002	-7.665431104374032e-002	-9.625378560074140e-002
1.883107199629303e-002	-7.663620085051302e-002	-9.623378560074139e-002
1.893107199629303e-002	-7.661809065722561e-002	-9.621378560074140e-002
1.903107199629303e-002	-7.659998046417987e-002	-9.619378560074139e-002
1.913107199629303e-002	-7.658187027133137e-002	-9.617378560074140e-002
1.923107199629303e-002	-7.656376007842689e-002	-9.615378560074139e-002
1.933107199629303e-002	-7.654564988561233e-002	-9.613378560074140e-002
1.943107199629303e-002	-7.652753969303575e-002	-9.611378560074139e-002
1.953107199629303e-002	-7.650942950038144e-002	-9.609378560074139e-002
1.963107199629303e-002	-7.649131930766566e-002	-9.607378560074140e-002
1.973107199629303e-002	-7.647320911516942e-002	-9.605378560074139e-002
1.983107199629303e-002	-7.645509892286762e-002	-9.603378560074140e-002
1.993107199629303e-002	-7.643698873083160e-002	-9.601378560074139e-002
2.003107199629303e-002	-7.641887853889856e-002	-9.599378560074140e-002
2.013107199629303e-002	-7.640076834680511e-002	-9.597378560074139e-002
2.023107199629303e-002	-7.638265815469263e-002	-9.595378560074139e-002
2.033107199629303e-002	-7.636454796253293e-002	-9.593378560074140e-002
2.043107199629303e-002	-7.634643777063845e-002	-9.591378560074139e-002
2.053107199629303e-002	-7.632832757911624e-002	-9.589378560074140e-002
2.063107199629303e-002	-7.631021738734657e-002	-9.587378560074139e-002
2.073107199629303e-002	-7.629210719566522e-002	-9.585378560074140e-002
2.083107199629303e-002	-7.627399700443630e-002	-9.583378560074139e-002
2.093107199629303e-002	-7.625588681300724e-002	-9.581378560074140e-002
2.103107199629303e-002	-7.623777662154319e-002	-9.579378560074139e-002
2.113107199629303e-002	-7.621966643058456e-002	-9.577378560074139e-002
2.123107199629303e-002	-7.620155623968633e-002	-9.575378560074140e-002
2.133107199629303e-002	-7.618344604844808e-002	-9.573378560074139e-002
2.143107199629303e-002	-7.616533585728005e-002	-9.571378560074140e-002
2.153107199629303e-002	-7.614722566653698e-002	-9.569378560074139e-002
2.163107199629303e-002	-7.612911547581487e-002	-9.567378560074140e-002
2.173107199629303e-002	-7.611100528492691e-002	-9.565378560074139e-002
2.183107199629303e-002	-7.609289509433015e-002	-9.563378560074140e-002
2.193107199629303e-002	-7.607478490400275e-002	-9.561378560074139e-002
2.203107199629303e-002	-7.605667471349410e-002	-9.559378560074139e-002
2.213107199629303e-002	-7.603856452281256e-002	-9.557378560074140e-002
2.223107199629303e-002	-7.602045433239472e-002	-9.555378560074139e-002
2.233107199629303e-002	-7.600234414236380e-002	-9.553378560074140e-002
2.243107199629303e-002	-7.598423395238090e-002	-9.551378560074139e-002
2.253107199629303e-002	-7.596612376226863e-002	-9.549378560074140e-002
2.263107199629303e-002	-7.594801357220794e-002	-9.547378560074139e-002
2.273107199629303e-002	-7.592990338245184e-002	-9.545378560074140e-002
2.283107199629303e-002	-7.591179319266846e-002	-9.543378560074139e-002
2.293107199629303e-002	-7.589368300274368e-002	-9.541378560074139e-002
2.303107199629303e-002	-7.587557281336041e-002	-9.539378560074140e-002
2.313107199629303e-002	-7.585746262415681e-002	-9.537378560074139e-002
2.323107199629303e-002	-7.583935243447176e-002	-9.535378560074140e-002
2.333107199629303e-002	-7.582124224496176e-002	-9.533378560074139e-002
2.343107199629303e-002	-7.580313205587216e-002	-9.531378560074140e-002
2.353107199629303e-002	-7.578502186675865e-002	-9.529378560074139e-002
2.363107199629303e-002	-7.576691167761010e-002	-9.527378560074140e-002
2.373107199629303e-002	-7.574880148846194e-002	-9.525378560074140e-002
2.383107199629303e-002	-7.573069129937897e-002	-9.523378560074139e-002
2.393107199629303e-002	-7.571258111049285e-002	-9.521378560074140e-002
2.403107199629303e-002	-7.569447092195911e-002	-9.519378560074139e-002
2.413107199629303e-002	-7.567636073356301e-002	-9.517378560074140e-002
2.423107199629303e-002	-7.565825054480999e-002	-9.515378560074139e-002
2.433107199629303e-002	-7.564014035599724e-002	-9.513378560074140e-002
2.443107199629303e-002	-7.562203016763620e-002	-9.511378560074139e-002
2.453107199629303e-002	-7.560391997963907e-002	-9.509378560074139e-002
2.463107199629303e-002	-7.558580979154139e-002	-9.507378560074140e-002
2.473107199629303e-002	-7.556769960319361e-002	-9.505378560074139e-002
2.483107199629303e-002	-7.554958941496885e-002	-9.503378560074140e-002
2.493107199629303e-002	-7.553147922693076e-002	-9.501378560074139e-002
2.503107199629303e-002	-7.551336903890110e-002	-9.499378560074140e-002
2.513107199629303e-002	-7.549525885099943e-002	-9.497378560074139e-002
2.523107199629303e-002	-7.547714866332272e-002	-9.495378560074140e-002
2.533107199629303e-002	-7.545903847580673e-002	-9.493378560074139e-002
2.543107199629303e-002	-7.544092828834990e-002	-9.491378560074139e-002
2.553107199629303e-002	-7.542281810091810e-002	-9.489378560074140e-002
2.563107199629303e-002	-7.540470791352624e-002	-9.487378560074139e-002
2.573107199629303e-002	-7.538659772616609e-002	-9.485378560074140e-002
2.583107199629303e-002	-7.536848753893122e-002	-9.483378560074139e-002
2.593107199629303e-002	-7.535037735190731e-002	-9.481378560074140e-002
2.603107199629303e-002	-7.533226716498508e-002	-9.479378560074139e-002
2.613107199629303e-002	-7.531415697788930e-002	-9.477378560074140e-002
2.623107199629303e-002	-7.529604679063105e-002	-9.475378560074139e-002
2.633107199629303e-002	-7.527793660365359e-002	-9.473378560074139e-002
2.643107199629303e-002	-7.525982641706289e-002	-9.471378560074140e-002
2.653107199629303e-002	-7.524171623047837e-002	-9.469378560074139e-002
2.663107199629303e-002	-7.522360604393945e-002	-9.467378560074140e-002
2.673107199629303e-002	-7.520549585761899e-002	-9.465378560074139e-002
2.683107199629303e-002	-7.518738567134710e-002	-9.463378560074140e-002
2.693107199629303e-002	-7.516927548513236e-002	-9.461378560074139e-002
2.703107199629303e-002	-7.515116529896393e-002	-9.459378560074140e-002
2.713107199629303e-002	-7.513305511282731e-002	-9.457378560074140e-002
2.723107199629303e-002	-7.511494492674917e-002	-9.455378560074139e-002
2.733107199629303e-002	-7.509683474062630e-002	-9.453378560074140e-002
2.743107199629303e-002	-7.507872455467406e-002	-9.451378560074139e-002
2.753107199629303e-002	-7.506061436901815e-002	-9.449378560074140e-002
2.763107199629303e-002	-7.504250418340530e-002	-9.447378560074139e-002
2.773107199629303e-002	-7.502439399787607e-002	-9.445378560074140e-002
2.783107199629303e-002	-7.500628381248026e-002	-9.443378560074139e-002
2.793107199629303e-002	-7.498817362688504e-002	-9.441378560074139e-002
2.803107199629303e-002	-7.497006344120658e-002	-9.439378560074140e-002
2.813107199629303e-002	-7.495195325584830e-002	-9.437378560074139e-002
2.823107199629303e-002	-7.493384307075592e-002	-9.435378560074140e-002
2.833107199629303e-002	-7.491573288583132e-002	-9.433378560074139e-002
2.843107199629303e-002	-7.489762270090888e-002	-9.431378560074140e-002
