Freq.	V(bf_source)/V(samplecap)
1.30817747426022e+004	(-1.07995112337604e+000dB,-1.05028872589602e-001°)
1.31825673855644e+004	(-1.08004360437655e+000dB,-1.04588740137266e-001°)
1.32841366171068e+004	(-1.08013521337771e+000dB,-1.04147396612749e-001°)
1.33864884207002e+004	(-1.08022595183027e+000dB,-1.03704919959991e-001°)
1.34896288259168e+004	(-1.08031582135901e+000dB,-1.03261387376369e-001°)
1.35935639087856e+004	(-1.08040482375786e+000dB,-1.02816875298671e-001°)
1.36982997921500e+004	(-1.08049296098714e+000dB,-1.02371459387600e-001°)
1.38038426460292e+004	(-1.08058023516839e+000dB,-1.01925214514170e-001°)
1.39101986879808e+004	(-1.08066664858132e+000dB,-1.01478214746751e-001°)
1.40173741834680e+004	(-1.08075220365913e+000dB,-1.01030533338801e-001°)
1.41253754462279e+004	(-1.08083690298523e+000dB,-1.00582242716856e-001°)
1.42342088386437e+004	(-1.08092074928914e+000dB,-1.00133414470588e-001°)
