Freq.	(V(n004)/I(R5)-50)/(V(n004)/I(R5)+50)
Step Information: X=45  (Run: 1/3)
1.20226443461743e+007	(-3.87629895980186e+001dB,-1.79488093711889e+002°)
1.25892541179419e+007	(-3.87628650845858e+001dB,-1.79463759407838e+002°)
1.31825673855643e+007	(-3.87627264232832e+001dB,-1.79438281804788e+002°)
1.38038426460291e+007	(-3.87625723782616e+001dB,-1.79411607476611e+002°)
1.44543977074595e+007	(-3.87624016017231e+001dB,-1.79383680422797e+002°)
1.51356124843623e+007	(-3.87622126230010e+001dB,-1.79354441945161e+002°)
1.58489319246114e+007	(-3.87620038369439e+001dB,-1.79323830518406e+002°)
1.65958690743759e+007	(-3.87617734915929e+001dB,-1.79291781653756e+002°)
1.73780082874940e+007	(-3.87615196751453e+001dB,-1.79258227754759e+002°)
1.81970085861001e+007	(-3.87612403022039e+001dB,-1.79223097964142e+002°)
1.90546071796328e+007	(-3.87609330993314e+001dB,-1.79186318000437e+002°)
1.99526231496891e+007	(-3.87605955899415e+001dB,-1.79147809982757e+002°)
2.08929613085407e+007	(-3.87602250785929e+001dB,-1.79107492241738e+002°)
2.18776162394959e+007	(-3.87598186347862e+001dB,-1.79065279114161e+002°)
2.29086765276781e+007	(-3.87593730764102e+001dB,-1.79021080718055e+002°)
2.39883291901953e+007	(-3.87588849530518e+001dB,-1.78974802704206e+002°)
2.51188643150962e+007	(-3.87583505294589e+001dB,-1.78926345978737e+002°)
2.63026799189542e+007	(-3.87577657695486e+001dB,-1.78875606389776e+002°)
2.75422870333821e+007	(-3.87571263214799e+001dB,-1.78822474368955e+002°)
2.88403150312665e+007	(-3.87564275044665e+001dB,-1.78766834515393e+002°)
3.01995172040207e+007	(-3.87556642981992e+001dB,-1.78708565105533e+002°)
3.16227766016843e+007	(-3.87548313359702e+001dB,-1.78647537506285e+002°)
3.31131121482597e+007	(-3.87539229028652e+001dB,-1.78583615460630e+002°)
3.46736850452537e+007	(-3.87529329406707e+001dB,-1.78516654203115e+002°)
3.63078054770107e+007	(-3.87518550614312e+001dB,-1.78446499346018e+002°)
3.80189396320568e+007	(-3.87506825718006e+001dB,-1.78372985452944e+002°)
3.98107170553504e+007	(-3.87494085103162e+001dB,-1.78295934181783e+002°)
4.16869383470342e+007	(-3.87480256992060e+001dB,-1.78215151827760e+002°)
4.36515832240173e+007	(-3.87465268107346e+001dB,-1.78130426021338e+002°)
4.57088189614883e+007	(-3.87449044442915e+001dB,-1.78041521221689e+002°)
4.78630092322647e+007	(-3.87431512022349e+001dB,-1.77948172473549e+002°)
5.01187233627281e+007	(-3.87412597356083e+001dB,-1.77850076630640e+002°)
5.24807460249782e+007	(-3.87392226966563e+001dB,-1.77746879841179e+002°)
5.49540873857634e+007	(-3.87370324662264e+001dB,-1.77638159461631e+002°)
5.75439937337167e+007	(-3.87346803851538e+001dB,-1.77523397600720e+002°)
6.02559586074368e+007	(-3.87321549358700e+001dB,-1.77401942057333e+002°)
6.30957344480204e+007	(-3.87294377390360e+001dB,-1.77272948418495e+002°)
6.60693448007608e+007	(-3.87264950244940e+001dB,-1.77135294836228e+002°)
6.91830970918949e+007	(-3.87232597335434e+001dB,-1.76987460416357e+002°)
7.24435960075003e+007	(-3.87195943111122e+001dB,-1.76827366716879e+002°)
7.58577575029197e+007	(-3.87152145559536e+001dB,-1.76652224857406e+002°)
7.94328234724296e+007	(-3.87095402994084e+001dB,-1.76458584451087e+002°)
8.31763771102686e+007	(-3.87014359457389e+001dB,-1.76243233276671e+002°)
8.70963589956096e+007	(-3.86889078699088e+001dB,-1.76006571160645e+002°)
9.12010839355926e+007	(-3.86693102953305e+001dB,-1.75760509280313e+002°)
9.54992586021453e+007	(-3.86414221277633e+001dB,-1.75536240029007e+002°)
1.00000000000002e+008	(-3.86090265470538e+001dB,-1.75369654019335e+002°)
1.04712854805092e+008	(-3.85796594199144e+001dB,-1.75261347992867e+002°)
1.09647819614321e+008	(-3.85573905858967e+001dB,-1.75173863833709e+002°)
1.14815362149690e+008	(-3.85408203509629e+001dB,-1.75072986159232e+002°)
1.20226443461744e+008	(-3.85268781163979e+001dB,-1.74946075344554e+002°)
1.25892541179419e+008	(-3.85132834989344e+001dB,-1.74793648640094e+002°)
1.31825673855643e+008	(-3.84987787137784e+001dB,-1.74620020188092e+002°)
1.38038426460291e+008	(-3.84827393832037e+001dB,-1.74429417988445e+002°)
1.44543977074595e+008	(-3.84648556806185e+001dB,-1.74225097277819e+002°)
1.51356124843624e+008	(-3.84449579237250e+001dB,-1.74009414486277e+002°)
1.58489319246114e+008	(-3.84229330092391e+001dB,-1.73784082841074e+002°)
1.65958690743759e+008	(-3.83986867316921e+001dB,-1.73550397496636e+002°)
1.73780082874941e+008	(-3.83721276412472e+001dB,-1.73309397295545e+002°)
1.81970085861002e+008	(-3.83431607507536e+001dB,-1.73061973828384e+002°)
1.90546071796328e+008	(-3.83116856939156e+001dB,-1.72808943520084e+002°)
1.99526231496892e+008	(-3.82775968644936e+001dB,-1.72551095014917e+002°)
2.08929613085408e+008	(-3.82407844007186e+001dB,-1.72289220107001e+002°)
2.18776162394960e+008	(-3.82011354823208e+001dB,-1.72024133462782e+002°)
2.29086765276782e+008	(-3.81585356768054e+001dB,-1.71756684406333e+002°)
2.39883291901954e+008	(-3.81128701872493e+001dB,-1.71487762806568e+002°)
2.51188643150963e+008	(-3.80640248983450e+001dB,-1.71218300368656e+002°)
2.63026799189543e+008	(-3.80118871290426e+001dB,-1.70949268219311e+002°)
2.75422870333822e+008	(-3.79563459973820e+001dB,-1.70681671479675e+002°)
2.88403150312666e+008	(-3.78972922953945e+001dB,-1.70416541474526e+002°)
3.01995172040208e+008	(-3.78346177647118e+001dB,-1.70154926292546e+002°)
3.16227766016844e+008	(-3.77682136604018e+001dB,-1.69897880564016e+002°)
3.31131121482598e+008	(-3.76979684945643e+001dB,-1.69646455541542e+002°)
3.46736850452539e+008	(-3.76237648651666e+001dB,-1.69401690841348e+002°)
3.63078054770109e+008	(-3.75454753023047e+001dB,-1.69164609511796e+002°)
3.80189396320569e+008	(-3.74629571064435e+001dB,-1.68936218424179e+002°)
3.98107170553505e+008	(-3.73760462141969e+001dB,-1.68717516305376e+002°)
4.16869383470344e+008	(-3.72845502097476e+001dB,-1.68509512022901e+002°)
4.36515832240175e+008	(-3.71882407067960e+001dB,-1.68313255950548e+002°)
4.57088189614885e+008	(-3.70868454589268e+001dB,-1.68129887335316e+002°)
4.78630092322648e+008	(-3.69800407162327e+001dB,-1.67960700485908e+002°)
5.01187233627283e+008	(-3.68674445311274e+001dB,-1.67807232223486e+002°)
5.24807460249784e+008	(-3.67486119205997e+001dB,-1.67671372270944e+002°)
5.49540873857636e+008	(-3.66230330032476e+001dB,-1.67555496985334e+002°)
5.75439937337169e+008	(-3.64901354252671e+001dB,-1.67462624932209e+002°)
6.02559586074371e+008	(-3.63492925354772e+001dB,-1.67396590151574e+002°)
6.30957344480207e+008	(-3.61998388154988e+001dB,-1.67362225524138e+002°)
6.60693448007610e+008	(-3.60410939522159e+001dB,-1.67365544486257e+002°)
6.91830970918951e+008	(-3.58723965798869e+001dB,-1.67413904735700e+002°)
7.24435960075006e+008	(-3.56931480448439e+001dB,-1.67516133074903e+002°)
7.58577575029200e+008	(-3.55028655069266e+001dB,-1.67682587051909e+002°)
7.94328234724299e+008	(-3.53012422952887e+001dB,-1.67925127806776e+002°)
8.31763771102689e+008	(-3.50882117823951e+001dB,-1.68256980925060e+002°)
8.70963589956100e+008	(-3.48640093539934e+001dB,-1.68692469426380e+002°)
9.12010839355930e+008	(-3.46292256915313e+001dB,-1.69246615953919e+002°)
9.54992586021457e+008	(-3.43848439986549e+001dB,-1.69934629279564e+002°)
1.00000000000002e+009	(-3.41322544475618e+001dB,-1.70771311240705e+002°)
1.04712854805092e+009	(-3.38732413007959e+001dB,-1.71770440230887e+002°)
1.09647819614321e+009	(-3.36099418733368e+001dB,-1.72944201100841e+002°)
1.14815362149691e+009	(-3.33447812895503e+001dB,-1.74302733344201e+002°)
1.20226443461744e+009	(-3.30803919449792e+001dB,-1.75853855839156e+002°)
1.25892541179420e+009	(-3.28195304605820e+001dB,-1.77602996623000e+002°)
1.31825673855644e+009	(-3.25650064452342e+001dB,-1.79553314144144e+002°)
1.38038426460292e+009	(-3.23196356563940e+001dB,1.78294049441283e+002°)
1.44543977074596e+009	(-3.20862249872142e+001dB,1.75939680895090e+002°)
1.51356124843624e+009	(-3.18675888231511e+001dB,1.73385692461769e+002°)
1.58489319246115e+009	(-3.16665872121208e+001dB,1.70635713927713e+002°)
1.65958690743760e+009	(-3.14861679663772e+001dB,1.67695156030506e+002°)
1.73780082874942e+009	(-3.13293893227619e+001dB,1.64571759471651e+002°)
1.81970085861003e+009	(-3.11993989174607e+001dB,1.61276365368174e+002°)
1.90546071796329e+009	(-3.10993498105831e+001dB,1.57823762008375e+002°)
1.99526231496893e+009	(-3.10322454495144e+001dB,1.54233398089432e+002°)
2.08929613085409e+009	(-3.10007216900871e+001dB,1.50529725789394e+002°)
2.18776162394960e+009	(-3.10067922499545e+001dB,1.46741967240426e+002°)
2.29086765276783e+009	(-3.10515992560128e+001dB,1.42903192788545e+002°)
2.39883291901955e+009	(-3.11352171406689e+001dB,1.39048744924944e+002°)
