Freq.	(V(n005)/I(R5)-50)/(V(n005)/I(R5)+50)
1.00000000000001e+007	(-8.10822355794511e+001dB,-8.45536266682579e+001°)
1.04712854805091e+007	(-8.06853083877319e+001dB,-8.50305034963788e+001°)
1.09647819614320e+007	(-8.02879682371507e+001dB,-8.54991156887518e+001°)
1.14815362149690e+007	(-7.98902631052420e+001dB,-8.59602416398376e+001°)
1.20226443461743e+007	(-7.94922353591931e+001dB,-8.64146566132131e+001°)
1.25892541179419e+007	(-7.90939222131000e+001dB,-8.68631339590819e+001°)
1.31825673855643e+007	(-7.86953561647804e+001dB,-8.73064462379323e+001°)
1.38038426460291e+007	(-7.82965654072536e+001dB,-8.77453662421972e+001°)
1.44543977074595e+007	(-7.78975742107253e+001dB,-8.81806679143098e+001°)
1.51356124843623e+007	(-7.74984032717573e+001dB,-8.86131271640634e+001°)
1.58489319246114e+007	(-7.70990700269160e+001dB,-8.90435225882221e+001°)
1.65958690743759e+007	(-7.66995889287284e+001dB,-8.94726360964057e+001°)
1.73780082874940e+007	(-7.62999716821195e+001dB,-8.99012534467744e+001°)
1.81970085861001e+007	(-7.59002274396220e+001dB,-9.03301646923759e+001°)
1.90546071796328e+007	(-7.55003629535077e+001dB,-9.07601645339114e+001°)
1.99526231496891e+007	(-7.51003826826199e+001dB,-9.11920525737104e+001°)
2.08929613085407e+007	(-7.47002888509420e+001dB,-9.16266334573531e+001°)
2.18776162394959e+007	(-7.43000814538548e+001dB,-9.20647168853632e+001°)
2.29086765276781e+007	(-7.38997582064958e+001dB,-9.25071174692891e+001°)
2.39883291901953e+007	(-7.34993144265444e+001dB,-9.29546543986358e+001°)
2.51188643150962e+007	(-7.30987428409051e+001dB,-9.34081508763599e+001°)
2.63026799189542e+007	(-7.26980333020301e+001dB,-9.38684332687239e+001°)
2.75422870333821e+007	(-7.22971723945595e+001dB,-9.43363299027378e+001°)
2.88403150312665e+007	(-7.18961429061637e+001dB,-9.48126694310157e+001°)
3.01995172040207e+007	(-7.14949231273163e+001dB,-9.52982786643251e+001°)
3.16227766016843e+007	(-7.10934859321325e+001dB,-9.57939797553177e+001°)
3.31131121482597e+007	(-7.06917975750818e+001dB,-9.63005865948193e+001°)
3.46736850452537e+007	(-7.02898161142197e+001dB,-9.68189002618807e+001°)
3.63078054770107e+007	(-6.98874893375268e+001dB,-9.73497033522077e+001°)
3.80189396320568e+007	(-6.94847520204790e+001dB,-9.78937530047376e+001°)
3.98107170553504e+007	(-6.90815222732192e+001dB,-9.84517724688183e+001°)
4.16869383470342e+007	(-6.86776966342692e+001dB,-9.90244411329999e+001°)
4.36515832240173e+007	(-6.82731434186100e+001dB,-9.96123831292251e+001°)
4.57088189614883e+007	(-6.78676936065990e+001dB,-1.00216155040008e+002°)
4.78630092322647e+007	(-6.74611282286616e+001dB,-1.00836234075921e+002°)
5.01187233627281e+007	(-6.70531607006094e+001dB,-1.01473009759643e+002°)
5.24807460249782e+007	(-6.66434118079724e+001dB,-1.02126785423010e+002°)
5.49540873857634e+007	(-6.62313738975285e+001dB,-1.02797802239131e+002°)
5.75439937337167e+007	(-6.58163591450120e+001dB,-1.03486311143472e+002°)
6.02559586074368e+007	(-6.53974243762721e+001dB,-1.04192743065451e+002°)
6.30957344480204e+007	(-6.49732619079394e+001dB,-1.04918078025209e+002°)
6.60693448007608e+007	(-6.45420433489869e+001dB,-1.05664614317956e+002°)
6.91830970918949e+007	(-6.41012059048821e+001dB,-1.06437539796933e+002°)
7.24435960075003e+007	(-6.36471941699550e+001dB,-1.07248094752411e+002°)
7.58577575029197e+007	(-6.31752625408817e+001dB,-1.08119791934637e+002°)
7.94328234724296e+007	(-6.26797340082739e+001dB,-1.09099993760495e+002°)
8.31763771102686e+007	(-6.21558746811654e+001dB,-1.10278561043879e+002°)
8.70963589956096e+007	(-6.16059431673226e+001dB,-1.11806332769286e+002°)
9.12010839355926e+007	(-6.10518944163946e+001dB,-1.13872825124222e+002°)
9.54992586021453e+007	(-6.05462146292341e+001dB,-1.16558427752576e+002°)
1.00000000000002e+008	(-6.01486218337628e+001dB,-1.19599838782972e+002°)
1.04712854805092e+008	(-5.98656691399048e+001dB,-1.22463001053333e+002°)
1.09647819614321e+008	(-5.96411817426615e+001dB,-1.24810558594046e+002°)
1.14815362149690e+008	(-5.94158974851305e+001dB,-1.26686154352632e+002°)
1.20226443461744e+008	(-5.91624176432463e+001dB,-1.28292770518210e+002°)
1.25892541179419e+008	(-5.88772227688946e+001dB,-1.29804138376127e+002°)
1.31825673855643e+008	(-5.85657841580941e+001dB,-1.31324839392900e+002°)
1.38038426460291e+008	(-5.82348703803869e+001dB,-1.32909202846001e+002°)
1.44543977074595e+008	(-5.78901211893181e+001dB,-1.34583604393290e+002°)
1.51356124843624e+008	(-5.75357211964857e+001dB,-1.36360518619074e+002°)
1.58489319246114e+008	(-5.71746577697662e+001dB,-1.38245955200596e+002°)
1.65958690743759e+008	(-5.68090476501794e+001dB,-1.40243131424109e+002°)
1.73780082874941e+008	(-5.64404008038307e+001dB,-1.42354225291301e+002°)
1.81970085861002e+008	(-5.60698087962592e+001dB,-1.44581189168395e+002°)
1.90546071796328e+008	(-5.56980732985151e+001dB,-1.46926111370509e+002°)
1.99526231496892e+008	(-5.53257922887516e+001dB,-1.49391362785681e+002°)
2.08929613085408e+008	(-5.49534175434402e+001dB,-1.51979643287448e+002°)
2.18776162394960e+008	(-5.45812928440603e+001dB,-1.54693983487868e+002°)
2.29086765276782e+008	(-5.42096791687019e+001dB,-1.57537728735660e+002°)
2.39883291901954e+008	(-5.38387709780620e+001dB,-1.60514518374246e+002°)
2.51188643150963e+008	(-5.34687062851476e+001dB,-1.63628266560383e+002°)
2.63026799189543e+008	(-5.30995722794994e+001dB,-1.66883147751822e+002°)
2.75422870333822e+008	(-5.27314076876292e+001dB,-1.70283588523017e+002°)
2.88403150312666e+008	(-5.23642026771348e+001dB,-1.73834266784662e+002°)
3.01995172040208e+008	(-5.19978968793978e+001dB,-1.77540119326741e+002°)
3.16227766016844e+008	(-5.16323759689684e+001dB,1.78593641349696e+002°)
3.31131121482598e+008	(-5.12674671681098e+001dB,1.74561499821146e+002°)
3.46736850452539e+008	(-5.09029340248379e+001dB,1.70357598926787e+002°)
3.63078054770109e+008	(-5.05384708309882e+001dB,1.65975688037901e+002°)
3.80189396320569e+008	(-5.01736970959470e+001dB,1.61409057101672e+002°)
3.98107170553505e+008	(-4.98081525656916e+001dB,1.56650455289818e+002°)
4.16869383470344e+008	(-4.94412933697038e+001dB,1.51691993413091e+002°)
