time	V(bf_source)
4.233107199629303e-002	-6.073160812519992e-003
4.243107199629303e-002	-6.069538842294436e-003
4.253107199629303e-002	-6.065916872201056e-003
4.263107199629303e-002	-6.062294901926183e-003
4.273107199629303e-002	-6.058672931469012e-003
4.283107199629303e-002	-6.055050961181949e-003
4.293107199629303e-002	-6.051428991042609e-003
4.303107199629303e-002	-6.047807020996501e-003
4.313107199629303e-002	-6.044185051060170e-003
4.323107199629303e-002	-6.040563080892588e-003
4.333107199629303e-002	-6.036941110462724e-003
4.343107199629303e-002	-6.033319140176059e-003
4.353107199629303e-002	-6.029697170017561e-003
4.363107199629303e-002	-6.026075199980087e-003
4.373107199629303e-002	-6.022453230143291e-003
4.383107199629303e-002	-6.018831260158237e-003
4.393107199629303e-002	-6.015209289874373e-003
4.403107199629303e-002	-6.011587319465724e-003
4.413107199629303e-002	-6.007965349114265e-003
4.423107199629303e-002	-6.004343379013150e-003
4.433107199629303e-002	-6.000721409110156e-003
4.443107199629303e-002	-5.997099439160349e-003
4.453107199629303e-002	-5.993477469159254e-003
4.463107199629303e-002	-5.989855498979410e-003
4.473107199629303e-002	-5.986233528506953e-003
4.483107199629303e-002	-5.982611558281134e-003
4.493107199629303e-002	-5.978989588503256e-003
4.503107199629303e-002	-5.975367618646290e-003
4.513107199629303e-002	-5.971745648509400e-003
4.523107199629303e-002	-5.968123678355837e-003
4.533107199629303e-002	-5.964501708200638e-003
4.543107199629303e-002	-5.960879737935454e-003
4.553107199629303e-002	-5.957257767864921e-003
4.563107199629303e-002	-5.953635798056355e-003
4.573107199629303e-002	-5.950013828197953e-003
4.583107199629303e-002	-5.946391858212925e-003
4.593107199629303e-002	-5.942769888038648e-003
4.603107199629303e-002	-5.939147917720574e-003
4.613107199629303e-002	-5.935525947590296e-003
4.623107199629303e-002	-5.931903977589617e-003
4.633107199629303e-002	-5.928282007507688e-003
4.643107199629303e-002	-5.924660037484269e-003
4.653107199629303e-002	-5.921038067485010e-003
4.663107199629303e-002	-5.917416097526633e-003
4.673107199629303e-002	-5.913794127609455e-003
4.683107199629303e-002	-5.910172157512997e-003
4.693107199629303e-002	-5.906550187471911e-003
4.703107199629303e-002	-5.902928217606933e-003
4.713107199629303e-002	-5.899306247602737e-003
4.723107199629303e-002	-5.895684277571873e-003
4.733107199629303e-002	-5.892062307668170e-003
4.743107199629303e-002	-5.888440337605564e-003
4.753107199629303e-002	-5.884818367249137e-003
4.763107199629303e-002	-5.881196396947058e-003
4.773107199629303e-002	-5.877574427095550e-003
4.783107199629303e-002	-5.873952457494247e-003
4.793107199629303e-002	-5.870330487734882e-003
4.803107199629303e-002	-5.866708517678738e-003
4.813107199629303e-002	-5.863086547520367e-003
4.823107199629303e-002	-5.859464577465251e-003
4.833107199629303e-002	-5.855842607403001e-003
4.843107199629303e-002	-5.852220637387222e-003
4.853107199629303e-002	-5.848598667383899e-003
4.863107199629303e-002	-5.844976697337788e-003
4.873107199629303e-002	-5.841354727361393e-003
4.883107199629303e-002	-5.837732757494194e-003
4.893107199629303e-002	-5.834110787793764e-003
4.903107199629303e-002	-5.830488818003393e-003
4.913107199629303e-002	-5.826866848019374e-003
4.923107199629303e-002	-5.823244878124906e-003
4.933107199629303e-002	-5.819622908268616e-003
