Type:          raw
Points:        1350
Count:         1
XInc:          3.70370E-013
XOrg:          6.1183500000E-008
YData range:   5.74400E-001
YData center:  -9.00000E-002
Coupling:      50 Ohms
XRange:        5.00000E-010
XOffset:       6.1183500000E-008
YRange:        5.70400E-001
YOffset:       -9.00000E-002
Date:          18 NOV 2019
Time:          10:07:33:53
Frame:         86100C:MY45030871
X Units:       second
Y Units:       Volt
XY Data:
6.1371648E-008, -5.382E-003
6.1372019E-008, -4.876E-003
6.1372389E-008, -5.708E-003
6.1372759E-008, -5.382E-003
6.1373130E-008, -4.713E-003
6.1373500E-008, -4.876E-003
6.1373870E-008, -4.550E-003
6.1374241E-008, -5.220E-003
6.1374611E-008, -5.220E-003
6.1374981E-008, -6.541E-003
6.1375352E-008, -5.220E-003
6.1375722E-008, -8.840E-003
6.1376093E-008, -5.382E-003
6.1376463E-008, -5.382E-003
6.1376833E-008, -7.193E-003
6.1377204E-008, -7.193E-003
6.1377574E-008, -4.550E-003
6.1377944E-008, -7.682E-003
6.1378315E-008, -9.003E-003
6.1378685E-008, -4.713E-003
6.1379056E-008, -8.677E-003
6.1379426E-008, -9.510E-003
6.1379796E-008, -5.708E-003
6.1380167E-008, -8.677E-003
6.1380537E-008, -5.708E-003
6.1380907E-008, -6.541E-003
6.1381278E-008, -8.677E-003
6.1381648E-008, -7.030E-003
6.1382019E-008, -9.166E-003
6.1382389E-008, -8.840E-003
6.1382759E-008, -6.867E-003
6.1383130E-008, -1.0488E-002
6.1383500E-008, -1.1646E-002
6.1383870E-008, -1.3783E-002
6.1384241E-008, -8.840E-003
6.1384611E-008, -1.0162E-002
6.1384981E-008, -8.514E-003
6.1385352E-008, -1.4290E-002
6.1385722E-008, -9.510E-003
6.1386093E-008, -1.1972E-002
6.1386463E-008, -1.1809E-002
6.1386833E-008, -8.677E-003
6.1387204E-008, -1.0325E-002
6.1387574E-008, -1.2805E-002
6.1387944E-008, -1.0814E-002
6.1388315E-008, -9.999E-003
6.1388685E-008, -1.0814E-002
6.1389056E-008, -1.3294E-002
6.1389426E-008, -1.3783E-002
6.1389796E-008, -1.1646E-002
6.1390167E-008, -1.6100E-002
6.1390537E-008, -1.1972E-002
6.1390907E-008, -1.5267E-002
6.1391278E-008, -1.9902E-002
6.1391648E-008, -1.4127E-002
6.1392019E-008, -1.2135E-002
6.1392389E-008, -1.5611E-002
6.1392759E-008, -1.2479E-002
6.1393130E-008, -1.6426E-002
6.1393500E-008, -1.6589E-002
6.1393870E-008, -1.4941E-002
6.1394241E-008, -1.4453E-002
6.1394611E-008, -1.6589E-002
6.1394981E-008, -1.9395E-002
6.1395352E-008, -1.8906E-002
6.1395722E-008, -1.6589E-002
6.1396093E-008, -1.7747E-002
6.1396463E-008, -1.5267E-002
6.1396833E-008, -1.6426E-002
6.1397204E-008, -1.6426E-002
6.1397574E-008, -2.0554E-002
6.1397944E-008, -1.9395E-002
6.1398315E-008, -1.6426E-002
6.1398685E-008, -1.7910E-002
6.1399056E-008, -2.2545E-002
6.1399426E-008, -1.9739E-002
6.1399796E-008, -1.8236E-002
6.1400167E-008, -2.2871E-002
6.1400537E-008, -2.7180E-002
6.1400907E-008, -1.8580E-002
6.1401278E-008, -2.4536E-002
6.1401648E-008, -2.2056E-002
6.1402019E-008, -2.0716E-002
6.1402389E-008, -2.5532E-002
6.1402759E-008, -1.8580E-002
6.1403130E-008, -2.7180E-002
6.1403500E-008, -2.7505E-002
6.1403870E-008, -2.0716E-002
6.1404241E-008, -2.4029E-002
6.1404611E-008, -2.8845E-002
6.1404981E-008, -2.8664E-002
6.1405352E-008, -1.9395E-002
6.1405722E-008, -2.7849E-002
6.1406093E-008, -2.6347E-002
6.1406463E-008, -2.3378E-002
6.1406833E-008, -2.8664E-002
6.1407204E-008, -2.9660E-002
6.1407574E-008, -3.2973E-002
6.1407944E-008, -3.0981E-002
6.1408315E-008, -3.1488E-002
6.1408685E-008, -3.0981E-002
6.1409056E-008, -3.9925E-002
6.1409426E-008, -3.3968E-002
6.1409796E-008, -3.4638E-002
6.1410167E-008, -3.5127E-002
6.1410537E-008, -2.6021E-002
6.1410907E-008, -3.4294E-002
6.1411278E-008, -3.0981E-002
6.1411648E-008, -3.4475E-002
6.1412019E-008, -3.2647E-002
6.1412389E-008, -3.0981E-002
6.1412759E-008, -3.3643E-002
6.1413130E-008, -3.4964E-002
6.1413500E-008, -4.3889E-002
6.1413870E-008, -4.1083E-002
6.1414241E-008, -3.3806E-002
6.1414611E-008, -3.4801E-002
6.1414981E-008, -2.9334E-002
6.1415352E-008, -3.8096E-002
6.1415722E-008, -4.2568E-002
6.1416093E-008, -4.7202E-002
6.1416463E-008, -3.8766E-002
6.1416833E-008, -4.1735E-002
6.1417204E-008, -3.9255E-002
6.1417574E-008, -3.6775E-002
6.1417944E-008, -3.6775E-002
6.1418315E-008, -3.9255E-002
6.1418685E-008, -3.3299E-002
6.1419056E-008, -4.0920E-002
6.1419426E-008, -4.8361E-002
6.1419796E-008, -4.7365E-002
6.1420167E-008, -4.2894E-002
6.1420537E-008, -4.2405E-002
6.1420907E-008, -4.6044E-002
6.1421278E-008, -4.5211E-002
6.1421648E-008, -5.2996E-002
6.1422019E-008, -3.7281E-002
6.1422389E-008, -5.4317E-002
6.1422759E-008, -4.2242E-002
6.1423130E-008, -5.3484E-002
6.1423500E-008, -5.5965E-002
6.1423870E-008, -4.8687E-002
6.1424241E-008, -4.5718E-002
6.1424611E-008, -5.0171E-002
6.1424981E-008, -4.5211E-002
6.1425352E-008, -5.5802E-002
6.1425722E-008, -5.5132E-002
6.1426093E-008, -5.9929E-002
6.1426463E-008, -6.1921E-002
6.1426833E-008, -5.5802E-002
6.1427204E-008, -6.6718E-002
6.1427574E-008, -5.9604E-002
6.1427944E-008, -6.4890E-002
6.1428315E-008, -5.6960E-002
6.1428685E-008, -5.2996E-002
6.1429056E-008, -6.4564E-002
6.1429426E-008, -6.8692E-002
6.1429796E-008, -6.3242E-002
6.1430167E-008, -6.3242E-002
6.1430537E-008, -5.7775E-002
6.1430907E-008, -5.7956E-002
6.1431278E-008, -6.7859E-002
6.1431648E-008, -7.8232E-002
6.1432019E-008, -6.6049E-002
6.1432389E-008, -7.6259E-002
6.1432759E-008, -6.8185E-002
6.1433130E-008, -6.9995E-002
6.1433500E-008, -6.1088E-002
6.1433870E-008, -5.7449E-002
6.1434241E-008, -8.2161E-002
6.1434611E-008, -7.1480E-002
6.1434981E-008, -7.9210E-002
6.1435352E-008, -8.4134E-002
6.1435722E-008, -7.7581E-002
6.1436093E-008, -5.8282E-002
6.1436463E-008, -6.4890E-002
6.1436833E-008, -7.5933E-002
6.1437204E-008, -6.9506E-002
6.1437574E-008, -7.5770E-002
6.1437944E-008, -7.4449E-002
6.1438315E-008, -7.7581E-002
6.1438685E-008, -7.2964E-002
6.1439056E-008, -7.8395E-002
6.1439426E-008, -8.5112E-002
6.1439796E-008, -7.8721E-002
6.1440167E-008, -8.2161E-002
6.1440537E-008, -8.9529E-002
6.1440907E-008, -7.5589E-002
6.1441278E-008, -7.8232E-002
6.1441648E-008, -8.7393E-002
6.1442019E-008, -9.6554E-002
6.1442389E-008, -8.7230E-002
6.1442759E-008, -8.3646E-002
6.1443130E-008, -8.3808E-002
6.1443500E-008, -8.9692E-002
6.1443870E-008, -8.9203E-002
6.1444241E-008, -9.6065E-002
6.1444611E-008, -9.4580E-002
6.1444981E-008, -9.3929E-002
6.1445352E-008, -9.0996E-002
6.1445722E-008, -9.8183E-002
6.1446093E-008, -9.2299E-002
6.1446463E-008, -8.9366E-002
6.1446833E-008, -9.4924E-002
6.1447204E-008, -9.4254E-002
6.1447574E-008, -1.03198E-001
6.1447944E-008, -9.8998E-002
6.1448315E-008, -9.9957E-002
6.1448685E-008, -9.6554E-002
6.1449056E-008, -9.3766E-002
6.1449426E-008, -1.01098E-001
6.1449796E-008, -1.00772E-001
6.1450167E-008, -1.02401E-001
6.1450537E-008, -1.14223E-001
6.1450907E-008, -9.3766E-002
6.1451278E-008, -1.03361E-001
6.1451648E-008, -1.04990E-001
6.1452019E-008, -1.04827E-001
6.1452389E-008, -1.09534E-001
6.1452759E-008, -1.11308E-001
6.1453130E-008, -1.10494E-001
6.1453500E-008, -1.10494E-001
6.1453870E-008, -1.21465E-001
6.1454241E-008, -9.8020E-002
6.1454611E-008, -9.9324E-002
6.1454981E-008, -1.08719E-001
6.1455352E-008, -1.03524E-001
6.1455722E-008, -1.19057E-001
6.1456093E-008, -1.21139E-001
6.1456463E-008, -1.15183E-001
6.1456833E-008, -1.08719E-001
6.1457204E-008, -1.17120E-001
6.1457574E-008, -1.11960E-001
6.1457944E-008, -1.18097E-001
6.1458315E-008, -1.21302E-001
6.1458685E-008, -1.17283E-001
6.1459056E-008, -1.17120E-001
6.1459426E-008, -1.25809E-001
6.1459796E-008, -1.25176E-001
6.1460167E-008, -1.17608E-001
6.1460537E-008, -1.20668E-001
6.1460907E-008, -1.25809E-001
6.1461278E-008, -1.21627E-001
6.1461648E-008, -1.20831E-001
6.1462019E-008, -1.18894E-001
6.1462389E-008, -1.28869E-001
6.1462759E-008, -1.18568E-001
6.1463130E-008, -1.33341E-001
6.1463500E-008, -1.25502E-001
6.1463870E-008, -1.18242E-001
6.1464241E-008, -1.27421E-001
6.1464611E-008, -1.30154E-001
6.1464981E-008, -1.30643E-001
