Type:          average
Points:        1350
Count:         512
XInc:          7.40741E-013
XOrg:          6.0964500000E-008
YData range:   5.74400E-001
YData center:  -9.00000E-002
Coupling:      50 Ohms
XRange:        1.00000E-009
XOffset:       6.0964500000E-008
YRange:        5.70400E-001
YOffset:       -9.00000E-002
Date:          18 NOV 2019
Time:          09:51:14:28
Frame:         86100C:MY45030871
X Units:       second
Y Units:       Volt
XY Data:
6.1242278E-008, -1.8703E-003
6.1243019E-008, -1.8703E-003
6.1243759E-008, -1.8703E-003
6.1244500E-008, -1.8522E-003
6.1245241E-008, -1.8613E-003
6.1245981E-008, -1.8613E-003
6.1246722E-008, -1.8522E-003
6.1247463E-008, -1.8613E-003
6.1248204E-008, -1.8522E-003
6.1248944E-008, -1.8431E-003
6.1249685E-008, -1.8431E-003
6.1250426E-008, -1.8522E-003
6.1251167E-008, -1.8431E-003
6.1251907E-008, -1.8341E-003
6.1252648E-008, -1.8341E-003
6.1253389E-008, -1.8431E-003
6.1254130E-008, -1.8341E-003
6.1254870E-008, -1.8431E-003
6.1255611E-008, -1.8160E-003
6.1256352E-008, -1.8250E-003
6.1257093E-008, -1.8069E-003
6.1257833E-008, -1.8250E-003
6.1258574E-008, -1.8250E-003
6.1259315E-008, -1.7979E-003
6.1260056E-008, -1.7979E-003
6.1260796E-008, -1.7979E-003
6.1261537E-008, -1.7979E-003
6.1262278E-008, -1.7798E-003
6.1263019E-008, -1.7979E-003
6.1263759E-008, -1.7888E-003
6.1264500E-008, -1.7798E-003
6.1265241E-008, -1.7798E-003
6.1265981E-008, -1.7707E-003
6.1266722E-008, -1.7798E-003
6.1267463E-008, -1.7707E-003
6.1268204E-008, -1.7617E-003
6.1268944E-008, -1.7436E-003
6.1269685E-008, -1.7345E-003
6.1270426E-008, -1.7526E-003
6.1271167E-008, -1.7345E-003
6.1271907E-008, -1.7345E-003
6.1272648E-008, -1.7345E-003
6.1273389E-008, -1.7164E-003
6.1274130E-008, -1.7255E-003
6.1274870E-008, -1.7164E-003
6.1275611E-008, -1.7164E-003
6.1276352E-008, -1.6983E-003
6.1277093E-008, -1.6983E-003
6.1277833E-008, -1.7074E-003
6.1278574E-008, -1.6802E-003
6.1279315E-008, -1.6712E-003
6.1280056E-008, -1.6893E-003
6.1280796E-008, -1.6712E-003
6.1281537E-008, -1.6712E-003
6.1282278E-008, -1.6712E-003
6.1283019E-008, -1.6531E-003
6.1283759E-008, -1.6350E-003
6.1284500E-008, -1.6440E-003
6.1285241E-008, -1.6350E-003
6.1285981E-008, -1.6168E-003
6.1286722E-008, -1.6078E-003
6.1287463E-008, -1.6259E-003
6.1288204E-008, -1.5987E-003
6.1288944E-008, -1.6078E-003
6.1289685E-008, -1.6078E-003
6.1290426E-008, -1.5987E-003
6.1291167E-008, -1.5897E-003
6.1291907E-008, -1.5987E-003
6.1292648E-008, -1.5806E-003
6.1293389E-008, -1.5625E-003
6.1294130E-008, -1.5625E-003
6.1294870E-008, -1.5625E-003
6.1295611E-008, -1.5444E-003
6.1296352E-008, -1.5444E-003
6.1297093E-008, -1.5444E-003
6.1297833E-008, -1.5263E-003
6.1298574E-008, -1.5354E-003
6.1299315E-008, -1.4901E-003
6.1300056E-008, -1.5082E-003
6.1300796E-008, -1.5082E-003
6.1301537E-008, -1.4901E-003
6.1302278E-008, -1.4901E-003
6.1303019E-008, -1.4901E-003
6.1303759E-008, -1.4811E-003
6.1304500E-008, -1.4720E-003
6.1305241E-008, -1.4630E-003
6.1305981E-008, -1.4358E-003
6.1306722E-008, -1.4449E-003
6.1307463E-008, -1.4358E-003
6.1308204E-008, -1.4177E-003
6.1308944E-008, -1.4268E-003
6.1309685E-008, -1.4177E-003
6.1310426E-008, -1.4087E-003
6.1311167E-008, -1.3815E-003
6.1311907E-008, -1.3815E-003
6.1312648E-008, -1.3906E-003
6.1313389E-008, -1.3634E-003
6.1314130E-008, -1.3724E-003
6.1314870E-008, -1.3634E-003
6.1315611E-008, -1.3453E-003
6.1316352E-008, -1.3362E-003
6.1317093E-008, -1.3362E-003
6.1317833E-008, -1.3181E-003
6.1318574E-008, -1.3000E-003
6.1319315E-008, -1.2910E-003
6.1320056E-008, -1.3000E-003
6.1320796E-008, -1.2819E-003
6.1321537E-008, -1.2910E-003
6.1322278E-008, -1.2729E-003
6.1323019E-008, -1.2729E-003
6.1323759E-008, -1.2638E-003
6.1324500E-008, -1.2638E-003
6.1325241E-008, -1.2548E-003
6.1325981E-008, -1.2638E-003
6.1326722E-008, -1.2548E-003
6.1327463E-008, -1.2457E-003
6.1328204E-008, -1.2548E-003
6.1328944E-008, -1.2367E-003
6.1329685E-008, -1.2548E-003
6.1330426E-008, -1.2457E-003
6.1331167E-008, -1.2367E-003
6.1331907E-008, -1.2457E-003
6.1332648E-008, -1.2457E-003
6.1333389E-008, -1.2548E-003
6.1334130E-008, -1.2457E-003
6.1334870E-008, -1.2729E-003
6.1335611E-008, -1.2638E-003
6.1336352E-008, -1.2910E-003
6.1337093E-008, -1.3000E-003
6.1337833E-008, -1.3181E-003
6.1338574E-008, -1.3272E-003
6.1339315E-008, -1.3453E-003
6.1340056E-008, -1.3724E-003
6.1340796E-008, -1.4087E-003
6.1341537E-008, -1.4358E-003
6.1342278E-008, -1.4630E-003
6.1343019E-008, -1.4720E-003
6.1343759E-008, -1.5173E-003
6.1344500E-008, -1.5625E-003
6.1345241E-008, -1.5987E-003
6.1345981E-008, -1.6350E-003
6.1346722E-008, -1.6983E-003
6.1347463E-008, -1.7526E-003
6.1348204E-008, -1.7888E-003
6.1348944E-008, -1.8703E-003
6.1349685E-008, -1.9427E-003
6.1350426E-008, -2.0151E-003
6.1351167E-008, -2.0785E-003
6.1351907E-008, -2.1600E-003
6.1352648E-008, -2.2686E-003
6.1353389E-008, -2.3410E-003
6.1354130E-008, -2.4406E-003
6.1354870E-008, -2.5492E-003
6.1355611E-008, -2.6759E-003
6.1356352E-008, -2.7664E-003
6.1357093E-008, -2.9203E-003
6.1357833E-008, -3.0561E-003
6.1358574E-008, -3.1828E-003
6.1359315E-008, -3.3186E-003
6.1360056E-008, -3.5087E-003
6.1360796E-008, -3.6626E-003
6.1361537E-008, -3.7984E-003
6.1362278E-008, -3.9975E-003
6.1363019E-008, -4.1967E-003
6.1363759E-008, -4.3777E-003
6.1364500E-008, -4.5316E-003
6.1365241E-008, -4.8303E-003
6.1365981E-008, -4.9480E-003
6.1366722E-008, -5.2557E-003
6.1367463E-008, -5.4458E-003
